name,team_code,pos
Caoimhin Kelleher,14,1
Nathaniel Phillips,14,2
Rhys Williams,14,2
Leighton Clarkson,14,3
Jake Cain,14,3
Ozan Kabak,14,2
Ben Davies,14,2
Fernando Luiz Rosa,43,2
Claudio Bravo,43,1
Sergio Agüero,43,4
Nicolás Otamendi,43,2
Kyle Walker,43,2
Ilkay Gündogan,43,3
Kevin De Bruyne,43,3
John Stones,43,2
Benjamin Mendy,43,2
Riyad Mahrez,43,3
Raheem Sterling,43,3
João Pedro Cavaco Cancelo,43,2
Ederson Santana de Moraes,43,1
Nathan Aké,43,2
Aymeric Laporte,43,2
Bernardo Mota Veiga de Carvalho e Silva,43,3
Gabriel Fernando de Jesus,43,4
Oleksandr Zinchenko,43,2
Phil Foden,43,3
Tommy Doyle,43,3
Rodrigo Hernandez,43,3
Ferran Torres,43,3
Eric Garcia,43,2
Adrián Bernabé,43,3
Zack Steffen,43,1
Liam Delap,43,4
Cole Palmer,43,3
Rúben Santos Gato Alves Dias,43,2
James Trafford,43,1
Scott Carson,43,1
Felix Nmecha,43,3
Luke Mbete,43,2
Taylor Harwood-Bellis,43,2
Claudio Gomes,43,3
Sergio Romero,1,1
Juan Mata,1,3
David de Gea,1,1
Chris Smalling,1,2
Odion Ighalo,1,4
Marcos Rojo,1,2
Nemanja Matic,1,3
Paul Pogba,1,3
Phil Jones,1,2
Harry Maguire,1,2
Frederico Rodrigues de Paula Santos,1,3
Luke Shaw,1,2
Bruno Miguel Borges Fernandes,1,3
Anthony Martial,1,4
Andreas Pereira,1,3
Dean Henderson,1,1
Marcus Rashford,1,3
Axel Tuanzebe,1,2
Victor Lindelöf,1,2
Scott McTominay,1,3
Eric Bailly,1,2
Daniel James,1,3
Timothy Fosu-Mensah,1,2
Aaron Wan-Bissaka,1,2
José Diogo Dalot Teixeira,1,2
Mason Greenwood,1,3
Tahith Chong,1,3
James Garner,1,3
Brandon Williams,1,2
Teden Mengi,1,2
Donny van de Beek,1,3
Alex Nicolao Telles,1,2
Edinson Cavani,1,4
Facundo Pellistri,1,3
Lee Grant,1,1
Amad Diallo,1,3
Shola Shoretire,1,3
Joseph Willock,4,3
Andy Carroll,4,4
Jonjo Shelvey,4,3
Matt Ritchie,4,3
Federico Fernández,4,2
Ciaran Clark,4,2
Karl Darlow,4,1
Martin Dubravka,4,1
Florian Lejeune,4,2
Jamaal Lascelles,4,2
Dwight Gayle,4,4
Christian Atsu,4,3
Paul Dummett,4,2
Javier Manquillo,4,2
Emil Krafth,4,2
Fabian Schär,4,2
DeAndre Yedlin,4,2
Isaac Hayden,4,3
Rolando Aarons,4,3
Allan Saint-Maximin,4,3
Miguel Almirón,4,3
Joelinton Cássio Apolinário de Lira,4,4
Yoshinori Muto,4,4
Kelland Watts,4,2
Sean Longstaff,4,3
Jeff Hendrick,4,3
Matthew Longstaff,4,3
Mark Gillespie,4,1
Jacob Murphy,4,3
Callum Wilson,4,4
Ryan Fraser,4,3
Jamal Lewis,4,2
Elliot Anderson,4,3
Daniel Langley,4,1
Rhian Brewster,49,4
Billy Sharp,49,4
David McGoldrick,49,4
Chris Basham,49,2
John Fleck,49,3
Enda Stevens,49,2
Simon Moore,49,1
Oliver Norwood,49,3
Wes Foderingham,49,1
George Baldock,49,2
Jack Robinson,49,2
John Egan,49,2
Jack O'Connell,49,2
John Lundstram,49,3
Ben Osborn,49,3
Oliver McBurnie,49,4
Lys Mousset,49,4
Sander Berge,49,3
Oliver Burke,49,3
Luke Freeman,49,3
Aaron Ramsdale,49,1
Ethan Ampadu,49,2
Jayden Bogle,49,2
Max Lowe,49,2
Phil Jagielka,49,2
Michael Verrips,49,1
Kean Bryan,49,2
Antwoine Hackford,49,4
Kyron Gordon,49,2
Iliman Ndiaye,49,3
Zak Brunt,49,3
Frankie Maguire,49,3
Theo Walcott,20,3
Takumi Minamino,20,3
Shane Long,20,4
Ryan Bertrand,20,2
Alex McCarthy,20,1
Oriol Romeu Vidal,20,3
Nathan Redmond,20,3
Danny Ings,20,4
Jack Stephens,20,2
Stuart Armstrong,20,3
Jannik Vestergaard,20,2
James Ward-Prowse,20,3
Angus Gunn,20,1
Sofiane Boufal,20,3
Josh Sims,20,3
Kyle Walker-Peters,20,2
Jan Bednarek,20,2
Che Adams,20,4
Yan Valery,20,2
William Smallbone,20,3
Jake Vokins,20,2
Michael Obafemi,20,4
Moussa Djenepo,20,3
Mohammed Salisu,20,2
Fraser Forster,20,1
Nathan Tella,20,3
Ibrahima Diallo,20,3
Daniel N'Lundulu,20,4
Kayne Ramsay,20,2
Kgaogelo Chauke,20,3
Harry Lewis,20,1
Will Ferry,20,3
Allan Tchaptchet,20,2
Caleb Watts,20,3
Alexandre Jankewitz,20,3
Ryan Finnigan,20,3
Hugo Lloris,6,1
Danny Rose,6,2
Moussa Sissoko,6,3
Toby Alderweireld,6,2
Erik Lamela,6,3
Harry Kane,6,4
Serge Aurier,6,2
Heung-Min Son,6,3
Eric Dier,6,2
Lucas Rodrigues Moura da Silva,6,3
Paulo Gazzaniga,6,1
Bamidele Alli,6,3
Ben Davies,6,2
Pierre-Emile Højbjerg,6,3
Harry Winks,6,3
Davinson Sánchez,6,2
Ryan Sessegnon,6,2
Steven Bergwijn,6,3
Gedson Carvalho Fernandes,6,3
Japhet Tanganga,6,2
Giovani Lo Celso,6,3
Oliver Skipp,6,3
Tanguy Ndombele,6,3
Juan Foyth,6,2
Matt Doherty,6,2
Joe Hart,6,1
Cameron Carter-Vickers,6,2
Sergio Reguilón,6,2
Gareth Bale,6,3
Carlos Vinicius Alves Morais,6,4
Joe Rodon,6,2
Alfie Devine,6,3
Dane Scarlett,6,4
Ainsley Maitland-Niles,35,2
David Button,35,1
Callum Robinson,35,4
Kieran Gibbs,35,2
Hal Robson-Kanu,35,4
Jake Livermore,35,3
Kamil Grosicki,35,3
Matt Phillips,35,3
Kyle Bartley,35,2
Romaine Sawyers,35,3
Ahmed El-Sayed Hegazy,35,2
Charlie Austin,35,4
Kenneth Zohore,35,4
Sam Johnstone,35,1
Conor Townsend,35,2
Oluwasemilogo Adesewo Ibidapo Ajayi,35,2
Jonathan Leko,35,3
Kyle Edwards,35,3
Darnell Furlong,35,2
Sam Field,35,3
Dara O'Shea,35,2
Rekeem Harper,35,3
Robert Snodgrass,35,3
Grady Diangana,35,3
Matheus Pereira,35,3
Cedric Kipre,35,2
Branislav Ivanovic,35,2
Conor Gallagher,35,3
